second,SSIM,PSNR,fps,response_time_ms,QoE
0,0.3280089260444977,13.350702461674878,9.985311469535153,8.014751769188969,0.10830978620978955
1,0.29763368578934324,14.586044783761475,10.119463451350653,5.84608968001703,0.10058259888555965
2,0.3120884311347166,14.293663278483034,10.744785699133793,8.576793769232328,0.11207124186476217
3,0.32617967793796876,14.307062660622702,10.442666602229012,7.459098571459998,0.1132117888139996
4,0.28256078160323955,14.11716578306159,8.973446021703374,93.55086749974362,0.08472706294035505
5,0.3370986706606997,14.992487256730236,8.467809102622317,82.07328033343704,0.09571183264325188
6,0.31007971647025406,14.464690372888583,8.710590973818242,77.4862865000614,0.09010770608586133
7,0.28826603071873746,13.702491739575082,8.079318085069843,69.96440750071997,0.07754241940680376
8,0.3110972627932341,13.485515172080982,11.853199091108225,71.14358100019065,0.12275625516621753
9,0.3285720894145629,14.156299395485922,10.718811996297584,77.97157633346312,0.11738547006715372
10,0.3374637846228252,14.671540255696392,8.938598620809858,84.42328599994653,0.10054844399342869
