second,SSIM,PSNR,fps,response_time_ms,QoE
0,0.31665709528437136,10.771969956425776,15.834444444444443,231.34444444444443,0.17496406183975402
1,0.35333224538701385,10.951377439764347,10.912727272727272,25.763636363636362,0.12817926633551868
2,0.29607005076739207,10.335713045837778,10.802727272727273,31.227272727272727,0.10685811630349176
3,0.27127011650705096,10.258774753519198,10.89,31.009090909090904,0.09851557199691433
4,0.272192296325681,10.364448448041072,11.144545454545455,26.3,0.10102409479210102
5,0.28808952314866754,10.237677517827835,10.623999999999999,27.49,0.10203598374897964
6,0.29523626317268525,10.201214363643919,10.469090909090909,30.454545454545453,0.10312399998636375
7,0.29220864825442244,10.140524143613147,10.227,27.85,0.09966528197409631
8,0.31192661415166145,10.044440607574126,10.645,28.830000000000002,0.11070458166225808
9,0.30344027655405975,9.795921689223736,10.11,38.13,0.10219992894633578
10,0.306920979698621,9.946614731224553,11.022727272727273,29.827272727272728,0.11281170582039506
11,0.30591165237189294,10.167495764548947,10.8975,26.6,0.11110625742437502
