# Frame ID, FPS, CPS
10,6.153794689184429,0.6049432860766943
13,5.619205356053943,1.9515732819773755
17,6.618393910525927,1.523356966662695
22,5.9577697196607335,1.1966416515325025
25,5.824841878808705,1.8866141606732905
30,6.023992598684091,1.1348407484260894
34,5.614205223741453,1.4100600733124908
38,5.591965964335202,1.4312168611922331
50,5.816368126537436,0.7826407262788752
55,5.473596685951354,1.090545515327366
79,4.94948408059478,0.5658102367909257
83,5.247316825220767,1.2848898739368675
88,5.867822865652348,1.1628849508529315
92,10.766734361063362,2.7102743815882278
96,11.665106050373673,2.9925735874964556
